UID        PID  PPID   LWP  C NLWP STIME TTY          TIME CMD
root      1696     1  1748  0   65 19:53 ?        00:00:00 /usr/sbin/console-kit-daemon --no-daemon
root      1696     1  1749  0   65 19:53 ?        00:00:00 /usr/sbin/console-kit-daemon --no-daemon
root      1696     1  1750  0   65 19:53 ?        00:00:00 /usr/sbin/console-kit-daemon --no-daemon
root      1696     1  1751  0   65 19:53 ?        00:00:00 /usr/sbin/console-kit-daemon --no-daemon
root      1696     1  1752  0   65 19:53 ?        00:00:00 /usr/sbin/console-kit-daemon --no-daemon
root      1696     1  1753  0   65 19:53 ?        00:00:00 /usr/sbin/console-kit-daemon --no-daemon
root      1696     1  1754  0   65 19:53 ?        00:00:00 /usr/sbin/console-kit-daemon --no-daemon
root      1696     1  1755  0   65 19:53 ?        00:00:00 /usr/sbin/console-kit-daemon --no-daemon
root      1696     1  1756  0   65 19:53 ?        00:00:00 /usr/sbin/console-kit-daemon --no-daemon
root      1696     1  1757  0   65 19:53 ?        00:00:00 /usr/sbin/console-kit-daemon --no-daemon
root      1696     1  1758  0   65 19:53 ?        00:00:00 /usr/sbin/console-kit-daemon --no-daemon
root      1696     1  1759  0   65 19:53 ?        00:00:00 /usr/sbin/console-kit-daemon --no-daemon
root      1696     1  1761  0   65 19:53 ?        00:00:00 /usr/sbin/console-kit-daemon --no-daemon
root      1696     1  1762  0   65 19:53 ?        00:00:00 /usr/sbin/console-kit-daemon --no-daemon
tj-ds     1770  1245  1770  0    4 19:53 ?        00:00:00 cinnamon-session --session cinnamon
tj-ds     1770  1245  1851  0    4 19:53 ?        00:00:00 cinnamon-session --session cinnamon
tj-ds     1770  1245  1852  0    4 19:53 ?        00:00:00 cinnamon-session --session cinnamon
tj-ds     1770  1245  1853  0    4 19:53 ?        00:00:00 cinnamon-session --session cinnamon
tj-ds     1838  1770  1838  0    1 19:53 ?        00:00:00 /usr/bin/ssh-agent /usr/bin/dbus-launch --exit-with-session /usr/bin/im-launch cinnamon-session-cinnamon
tj-ds     1841     1  1841  0    1 19:53 ?        00:00:00 /usr/bin/dbus-launch --exit-with-session /usr/bin/im-launch cinnamon-session-cinnamon
tj-ds     1842     1  1842  0    1 19:53 ?        00:00:00 /usr/bin/dbus-daemon --fork --print-pid 6 --print-address 9 --session
tj-ds     1855     1  1855  0    4 19:53 ?        00:00:00 /usr/lib/at-spi2-core/at-spi-bus-launcher
tj-ds     1855     1  1856  0    4 19:53 ?        00:00:00 /usr/lib/at-spi2-core/at-spi-bus-launcher
tj-ds     1855     1  1857  0    4 19:53 ?        00:00:00 /usr/lib/at-spi2-core/at-spi-bus-launcher
tj-ds     1855     1  1859  0    4 19:53 ?        00:00:00 /usr/lib/at-spi2-core/at-spi-bus-launcher
tj-ds     1860  1855  1860  0    1 19:53 ?        00:00:00 /usr/bin/dbus-daemon --config-file=/etc/at-spi2/accessibility.conf --nofork --print-address 3
tj-ds     1862     1  1862  0    3 19:53 ?        00:00:00 /usr/lib/at-spi2-core/at-spi2-registryd --use-gnome-session
tj-ds     1862     1  1863  0    3 19:53 ?        00:00:00 /usr/lib/at-spi2-core/at-spi2-registryd --use-gnome-session
tj-ds     1862     1  1864  0    3 19:53 ?        00:00:00 /usr/lib/at-spi2-core/at-spi2-registryd --use-gnome-session
tj-ds     1870  1770  1870  0    5 19:53 ?        00:00:00 /usr/lib/x86_64-linux-gnu/cinnamon-settings-daemon/cinnamon-settings-daemon
